Gene symbol	Ensembl ID	Gene tier	Gene category	Number of panels that carry the gene (n=10)	Mode of inheritance	ClinGen annotation	OMIM annotation	Gene function
ABCC9	ENSG00000069431	Tier 2: Primary	Channel	10	AD	DCM (Limited, AD)	Atrial fibrillation, familial, 12 (AD); Cardiomyopathy, dilated, 1O (AD); Hypertrichotic osteochondrodysplasia (AD)	This protein is thought to form ATP-sensitive potassium channels in cardiac, skeletal, and vascular and non-vascular smooth muscle. Protein structure suggests a role as the drug-binding channel-modulating subunit of the extra-pancreatic ATP-sensitive potassium channels.
ACTC1 	ENSG00000159251	Tier 1: Primary	Sarcomere	10	AD	DCM (Moderate, AD); HCM (Definitive, AD); ACM (No known relationship, AD)	Atrial septal defect 5 (AD); Cardiomyopathy, dilated, 1R (AD); Cardiomyopathy, hypertrophic, 11 (AD); Left ventricular noncompaction 4 (AD)	Actins are highly conserved proteins that are involved in various types of cell motility.
ACTN2 	ENSG00000077522	Tier 1: Primary	Z disc	9	AD	Intrinsic cardiomyopathy (Moderate, AD)	Cardiomyopathy, dilated, 1AA, with or without LVNC (AD); Cardiomyopathy, hypertrophic, 23, with or without LVNC (AD); Myopathy, congenital with structured cores and Z-line abnormalities (AD); Myopathy, distal, 6, adult onset (AD)	This gene encodes a muscle-specific, alpha actinin isoform that is expressed in both skeletal and cardiac muscles. Several transcript variants encoding different isoforms have been found for this gene. It is involved in binding actin to the membrane.
ALPK3	ENSG00000136383	Tier 1: Primary	Signaling	3	AR	HCM (Strong, AR)	Cardiomyopathy, familial hypertrophic 27 (AR)	Alpha kinase 3. Biased expression in heart.
ANKRD1 	ENSG00000148677	Tier 2: Primary	Z disc	9	AD	DCM (Limited, AD); HCM (Limited, AD)	N/A	The protein encoded by this gene is localized to the nucleus of endothelial cells and is induced by IL-1 and TNF-alpha stimulation. Studies in rat cardiomyocytes suggest that this gene functions as a transcription factor.
BAG3 	ENSG00000151929	Tier 1: Primary	Signaling	8	AD	DCM (Definitive, AD); myofibrillar myopathy (Definitive, AD)	Cardiomyopathy, dilated, 1HH (AD); Myopathy, myofibrillar, 6 (AD)	The protein encoded by this gene contains a WW domain in the N-terminal region and a BAG domain in the C-terminal region. The BAG domains of BAG1, BAG2, and BAG3 interact specifically with the Hsc70 ATPase domain in vitro and in mammalian cells.
BRAF	ENSG00000157764	Tier 1: Secondary	RAS	8	AD	Cardiofaciocutaneous syndrome (Definitive, AD); Noonan Syndrome (Moderate, AD); Noonan syndrome with multiple lentigines (Limited, AD); Costello syndrome (Disputed, AD)	Cardiofaciocutaneous syndrome (AD); LEOPARD syndrome 3 (AD); Noonan syndrome 7 (AD)	This gene encodes a protein belonging to the RAF family of serine/threonine protein kinases. This protein plays a role in regulating the MAP kinase/ERK signaling pathway, which affects cell division, differentiation, and secretion.
CALR3	ENSG00000269058	Tier 2: Primary	Calcium signaling	4	AD	HCM (Limited, AD)	N/A	The protein encoded by this gene belongs to the calreticulin family, members of which are calcium-binding chaperones localized mainly in the endoplasmic reticulum. This protein is also localized to the endoplasmic reticulum lumen, however, its capacity for calcium-binding may be absent or much lower than other family members.
CASQ2 	ENSG00000118729	Tier 1: Secondary	Calcium signaling	6	AD, AR	HCM (No known relationship, AD); catecholaminergic polymorphic ventricular tachycardia (Definitive, AR); catecholaminergic polymorphic ventricular tachycardia (Moderate, AD)	Ventricular tachycardia, catecholaminergic polymorphic, 2 (AD)	The protein is a calcium binding protein that stores calcium for muscle function. Mutations in this gene cause stress-induced polymorphic ventricular tachycardia, also referred to as catecholaminergic polymorphic ventricular tachycardia 2 (CPVT2), a disease characterized by bidirectional ventricular tachycardia that may lead to cardiac arrest.
CAV3 	ENSG00000182533	Tier 1: Secondary	Structural	9	AD, DD	N/A	Cardiomyopathy, familial hypertrophic (AD,DD); Creatine phosphokinase, elevated serum (AD); Long QT syndrome 9 (AD); Myopathy, distal, Tateyama type (AD); Rippling muscle disease 2 (AD)	This gene encodes a caveolin family member, which functions as a component of the caveolae plasma membranes found in most cell types. Caveolin proteins are proposed to be scaffolding proteins for organizing and concentrating certain caveolin-interacting molecules.
CBL	ENSG00000110395	Tier 1: Secondary	Signaling	6	AD	CBL-related disorder (Definitive, AD)	Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia (AD)	The encoded protein is one of the enzymes required for targeting substrates for degradation by the proteasome. This protein mediates the transfer of ubiquitin from ubiquitin conjugating enzymes (E2) to specific substrates.
CHRM2 	ENSG00000181072	Tier 2: Primary	Neurohormonal	5	AD	N/A	N/A	The muscarinic cholinergic receptor 2 is involved in mediation of bradycardia and a decrease in cardiac contractility.
CRYAB 	ENSG00000109846	Tier 1: Secondary	Signaling	10	AD, AR	N/A	Cardiomyopathy, dilated, 1II (AD); Cataract 16 (AD,AR); Myopathy, myofibrillar, 2 (AD); Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related (AR)	The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions.
CSRP3 	ENSG00000129170	Tier 1: Primary	Z disc	10	AD	DCM (Limited, AD); HCM (Moderate, AD)	?Cardiomyopathy, dilated, 1M; Cardiomyopathy, hypertrophic, 12 (AD)	This gene encodes a member of the CSRP family of LIM domain proteins, which may be involved in regulatory processes important for development and cellular differentiation. 
CTNNA3	ENSG00000183230	Tier 2: Primary	Z disc	5	AD	ACM (Limited, AD)	Arrhythmogenic right ventricular dysplasia, familial, 13 (AD)	This gene encodes a protein that belongs to the vinculin/alpha-catenin family. The encoded protein plays a role in cell-cell adhesion in muscle cells.
DES 	ENSG00000175084	Tier 1: Primary	Structural	10	AD	DCM (Definitive, AD); ACM (Moderate, AD); myofibrillar myopathy (Definitive, SD)	Cardiomyopathy, dilated, 1I (AD); Myopathy, myofibrillar, 1 (AD, AR); Scapuloperoneal syndrome, neurogenic, Kaeser type (AD)	This gene encodes a muscle-specific class III intermediate filament. Homopolymers of this protein form a stable intracytoplasmic filamentous network connecting myofibrils to each other and to the plasma membrane. Mutations in this gene are associated with desmin-related myopathy, a familial cardiac and skeletal myopathy (CSM), and with distal myopathies.
