cardiac_neuro_cava_random:SKI|ENSG00000157933.11|EH38E2778514_fwd_tile1-1
cardiac_neuro_cava_random:SZT2|ENSG00000198198.17|EH38E1342510_fwd_tile1-1
cardiac_neuro_cava_random:ST3GAL3|ENSG00000126091.21|EH38E2807625_fwd_tile1-1
cardiac_neuro_cava_random:ST3GAL3|ENSG00000126091.21|EH38E2807674_fwd_tile1-1
cardiac_neuro_cava_random:LMNA|ENSG00000160789.24|EH38E1387585_fwd_tile1-1
cardiac_neuro_cava_random:LMNA|ENSG00000160789.24|EH38E2840484_fwd_tile1-1
cardiac_neuro_cava_random:ATP1A2|ENSG00000018625.15|EH38E2842725_fwd_tile1-1
cardiac_neuro_cava_random:ATP1A2|ENSG00000018625.15|EH38E2842782_fwd_tile1-1
cardiac_neuro_cava_random:NOS1AP|ENSG00000198929.13|EH38E1391816_fwd_tile1-1
cardiac_neuro_cava_random:NOS1AP|ENSG00000198929.13|EH38E2844319_fwd_tile1-1
cardiac_neuro_cava_random:PBX1|ENSG00000185630.20|EH38E1393050_fwd_tile1-1
cardiac_neuro_cava_random:PBX1|ENSG00000185630.20|EH38E2844953_fwd_tile1-1
cardiac_neuro_cava_random:PBX1|ENSG00000185630.20|EH38E1393122_fwd_tile1-1
cardiac_neuro_cava_random:PBX1|ENSG00000185630.20|EH38E1393171_fwd_tile1-1
cardiac_neuro_cava_random:PRRX1|ENSG00000116132.12|EH38E1396724_fwd_tile1-1
cardiac_neuro_cava_random:PRRX1|ENSG00000116132.12|EH38E1396770_fwd_tile1-1
cardiac_neuro_cava_random:DISC1|ENSG00000162946.23|EH38E2873449_fwd_tile1-1
cardiac_neuro_cava_random:ACTN2|ENSG00000077522.15|EH38E2876139_fwd_tile1-1
cardiac_neuro_cava_random:ACTN2|ENSG00000077522.15|EH38E2876145_fwd_tile1-1
cardiac_neuro_cava_random:RYR2|ENSG00000198626.18|EH38E1435434_fwd_tile1-1
cardiac_neuro_cava_random:RYR2|ENSG00000198626.18|EH38E2876360_fwd_tile1-1
cardiac_neuro_cava_random:RYR2|ENSG00000198626.18|EH38E2876422_fwd_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E2783690_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E2783708_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E1316086_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E1316198_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E2783845_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E1316341_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E1316374_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E1316460_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E2784011_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E2784029_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E2784039_rev_tile1-1
cardiac_neuro_cava_random:RERE|ENSG00000142599.20|EH38E2784102_rev_tile1-1
cardiac_neuro_cava_random:MTOR|ENSG00000198793.14|EH38E2786139_rev_tile1-1
cardiac_neuro_cava_random:MTOR|ENSG00000198793.14|EH38E1318712_rev_tile1-1
cardiac_neuro_cava_random:MTOR|ENSG00000198793.14|EH38E2786164_rev_tile1-1
cardiac_neuro_cava_random:MTOR|ENSG00000198793.14|EH38E1318719_rev_tile1-1
cardiac_neuro_cava_random:ECE1|ENSG00000117298.16|EH38E2792849_rev_tile1-1
cardiac_neuro_cava_random:AHDC1|ENSG00000126705.15|EH38E2797946_rev_tile1-1
cardiac_neuro_cava_random:FHL3|ENSG00000183386.10|EH38E2803970_rev_tile1-1
cardiac_neuro_cava_random:FHL3|ENSG00000183386.10|EH38E2803978_rev_tile1-1
cardiac_neuro_cava_random:FHL3|ENSG00000183386.10|EH38E2804033_rev_tile1-1
cardiac_neuro_cava_random:POMGNT1|ENSG00000085998.15|EH38E2809080_rev_tile1-1
cardiac_neuro_cava_random:PARS2|ENSG00000162396.6|EH38E1349230_rev_tile1-1
cardiac_neuro_cava_random:DOCK7|ENSG00000116641.18|EH38E1354036_rev_tile1-1
cardiac_neuro_cava_random:KCNA2|ENSG00000177301.16|EH38E1375823_rev_tile1-1
cardiac_neuro_cava_random:CSDE1|ENSG00000009307.17|EH38E2832502,NRAS|ENSG00000213281.5|EH38E2832502_rev_tile1-1
cardiac_neuro_cava_random:CSDE1|ENSG00000009307.17|EH38E2832520,NRAS|ENSG00000213281.5|EH38E2832520_rev_tile1-1
cardiac_neuro_cava_random:CSDE1|ENSG00000009307.17|EH38E2832527,NRAS|ENSG00000213281.5|EH38E2832527_rev_tile1-1
cardiac_neuro_cava_random:CSDE1|ENSG00000009307.17|EH38E1378407,NRAS|ENSG00000213281.5|EH38E1378407_rev_tile1-1
cardiac_neuro_cava_random:NOTCH2|ENSG00000134250.21|EH38E2834917_rev_tile1-1
cardiac_neuro_cava_random:NOTCH2|ENSG00000134250.21|EH38E1381717_rev_tile1-1
cardiac_neuro_cava_random:NOTCH2|ENSG00000134250.21|EH38E2834936_rev_tile1-1
cardiac_neuro_cava_random:RIT1|ENSG00000143622.12|EH38E2840238_rev_tile1-1
cardiac_neuro_cava_random:RIT1|ENSG00000143622.12|EH38E2840252_rev_tile1-1
cardiac_neuro_cava_random:KCNT2|ENSG00000162687.19|EH38E2855751_rev_tile1-1
cardiac_neuro_cava_random:KCNT2|ENSG00000162687.19|EH38E2855770_rev_tile1-1
cardiac_neuro_cava_random:TNNT2|ENSG00000118194.21|EH38E2857763_rev_tile1-1
cardiac_neuro_cava_random:KDM5B|ENSG00000117139.18|EH38E2858908_rev_tile1-1
cardiac_neuro_cava_random:CHI3L1|ENSG00000133048.13|EH38E1413289_rev_tile1-1
cardiac_neuro_cava_random:CHI3L1|ENSG00000133048.13|EH38E1413343_rev_tile1-1
cardiac_neuro_cava_random:LEFTY2|ENSG00000143768.13|EH38E1427319_rev_tile1-1
cardiac_neuro_cava_random:LEFTY2|ENSG00000143768.13|EH38E2869618_rev_tile1-1
cardiac_neuro_cava_random:LEFTY2|ENSG00000143768.13|EH38E2869679_rev_tile1-1
cardiac_neuro_cava_random:NCOA1|ENSG00000084676.16|EH38E1980558_fwd_tile1-1
cardiac_neuro_cava_random:NCOA1|ENSG00000084676.16|EH38E3331030_fwd_tile1-1
cardiac_neuro_cava_random:CAD|ENSG00000084774.14|EH38E3332803_fwd_tile1-1
cardiac_neuro_cava_random:CAD|ENSG00000084774.14|EH38E3332811_fwd_tile1-1
cardiac_neuro_cava_random:STAMBP|ENSG00000124356.17|EH38E3352619_fwd_tile1-1
cardiac_neuro_cava_random:MBD5|ENSG00000204406.14|EH38E3376776_fwd_tile1-1
cardiac_neuro_cava_random:MBD5|ENSG00000204406.14|EH38E3376796_fwd_tile1-1
cardiac_neuro_cava_random:TBR1|ENSG00000136535.15|EH38E3381129_fwd_tile1-1
cardiac_neuro_cava_random:TBR1|ENSG00000136535.15|EH38E3381146_fwd_tile1-1
cardiac_neuro_cava_random:GAD1|ENSG00000128683.14|EH38E3383996_fwd_tile1-1
cardiac_neuro_cava_random:DNMT3A|ENSG00000119772.19|EH38E3331406_rev_tile1-1
cardiac_neuro_cava_random:NRXN1|ENSG00000179915.25|EH38E1997426_rev_tile1-1
cardiac_neuro_cava_random:NRXN1|ENSG00000179915.25|EH38E3343630_rev_tile1-1
cardiac_neuro_cava_random:NRXN1|ENSG00000179915.25|EH38E1997475_rev_tile1-1
cardiac_neuro_cava_random:BCL11A|ENSG00000119866.22|EH38E2001339_rev_tile1-1
cardiac_neuro_cava_random:BCL11A|ENSG00000119866.22|EH38E2001351_rev_tile1-1
cardiac_neuro_cava_random:BCL11A|ENSG00000119866.22|EH38E3346292_rev_tile1-1
cardiac_neuro_cava_random:BCL11A|ENSG00000119866.22|EH38E3346318_rev_tile1-1
cardiac_neuro_cava_random:NR4A2|ENSG00000153234.16|EH38E3379099_rev_tile1-1
cardiac_neuro_cava_random:ACVR1|ENSG00000115170.16|EH38E2043817_rev_tile1-1
cardiac_neuro_cava_random:BAZ2B|ENSG00000123636.19|EH38E3380250_rev_tile1-1
cardiac_neuro_cava_random:SCN3A|ENSG00000153253.20|EH38E2047837_rev_tile1-1
cardiac_neuro_cava_random:SCN3A|ENSG00000153253.20|EH38E2047856_rev_tile1-1
cardiac_neuro_cava_random:SCN3A|ENSG00000153253.20|EH38E3382162_rev_tile1-1
cardiac_neuro_cava_random:SCN3A|ENSG00000153253.20|EH38E3382165_rev_tile1-1
cardiac_neuro_cava_random:SLC25A12|ENSG00000115840.14|EH38E2051215_rev_tile1-1
cardiac_neuro_cava_random:TRIP12|ENSG00000153827.15|EH38E2081670_rev_tile1-1
cardiac_neuro_cava_random:TRIP12|ENSG00000153827.15|EH38E3405332_rev_tile1-1
cardiac_neuro_cava_random:HDLBP|ENSG00000115677.18|EH38E2090629_rev_tile1-1
cardiac_neuro_cava_random:SLC6A1|ENSG00000157103.13|EH38E3495303_fwd_tile1-1
