TF	fisher_OR_active_vs_inactive	fisher_BH_p_adj	n_pos_active	n_pos_inactive	elastic_net_coefficient	beta_activity	OR_per_unit_activity	beta_CI_lower	beta_CI_upper	OR_CI_lower	OR_CI_upper	ridge_p_empirical	ridge_BH_p_adj	n_usable_boot
ASXL3	2.742001604135104	0.002800407740395337	23	118	0.009567703605394	0.44961922964131695	1.567715132374051	0.27084499543526036	0.6250318278568804	1.3110718325148547	1.868305420643461	0.001	0.013602564102564102	1000
DPF1	5.54860966885889	1.4273135312548819e-06	21	53	0.0370514371931498	0.816321840847173	2.2621639175915593	0.5900018726883585	1.005771621588272	1.8039917937091245	2.734016084952646	0.001	0.013602564102564102	1000
GLYR1	2.2047849601084684	0.04671385399109737	19	122	-0.0163564144005055	-0.2902676913779102	0.7480632906805155	-0.45147137844948393	-0.10070351290772005	0.6366906491802746	0.904201077096261	0.002	0.022104166666666664	1000
KLF15	7.612523176761434	0.001762586108805378	8	15	0.0099226545398772	0.5382140292744411	1.712944859301797	0.1765060895360565	0.8551437139219222	1.1930416918078766	2.3517123300924854	0.014	0.09837086092715233	1000
NFYA	2.6891114339744475	2.547319096316042e-05	42	218	0.0051372674207749	0.28072474299347255	1.324089088970904	0.09925928591415918	0.4676454201995092	1.104352605514602	1.5962313109508621	0.001	0.013602564102564102	1000
NFYB	2.7371460750674457	2.8544736378265725e-07	57	291	0.0193281120796735	0.3528841931026376	1.4231663214139092	0.2147283365557445	0.495863334788728	1.2395251175601287	1.6419151498038316	0.001	0.013602564102564102	1000
NFYC	2.2665484865360934	0.0011596470181730063	39	240	0.0021839632843415	0.20594162020982054	1.228681471734958	0.04034944017554215	0.3794779718028222	1.0411745388453186	1.461521434857676	0.01	0.07977443609022557	1000
PHF19	2.9408789205428096	0.0030212685286973833	20	96	-0.0013281405201705	-0.11078580387384075	0.8951304618735534	-0.29727859782748833	0.08811739718024693	0.7428370307480203	1.0921163258798248	0.304	0.59509963099631	1000
RFX1	2.069778893386018	0.0004534816223632438	55	370	0.0031825834098876	0.21566552566586603	1.240687331524097	0.09052344062174843	0.34342343260465763	1.0947471688951838	1.4097655762721248	0.001	0.013602564102564102	1000
SP2	2.0644709473576452	0.0034550523223880595	40	270	0.0107022067036626	0.3220721018686036	1.3799842718149262	0.1937618525148883	0.45314865004043586	1.2138071834052955	1.5732580340033957	0.001	0.013602564102564102	1000
SP4	2.0606985723264795	0.009341640601313692	35	237	0.0045578576879812	0.33857520290670867	1.402947250697944	0.2063194612218842	0.4690239985263785	1.229145805702426	1.598433358339466	0.001	0.013602564102564102	1000
USF1	2.16286490397732	6.187233288592114e-12	147	968	0.0050012498097792	0.1975649371553888	1.2184321839207897	0.11850381936727397	0.27560433146798174	1.1258111739801286	1.3173265362408215	0.001	0.013602564102564102	1000
ZNF350	3.1237437485115502	0.03047013938291639	11	51	0.0104534271275608	0.3938209284497392	1.4826350271490045	0.11975777022167833	0.6381684071173624	1.1272237713423772	1.8930104775761005	0.002	0.022104166666666664	1000
ZSCAN4	2.1842075892857142	0.015317163209667393	26	167	0.0125513726992774	0.31402984592434324	1.3689305929365823	0.15099823506220092	0.473896423942921	1.1629946054668696	1.6062406103421492	0.001	0.013602564102564102	1000
