Gene	Gene name	Brain region	TPM	pTPM	nTPM
ENSG00000000003	TSPAN6	amygdala	4.5	6.1	7.0
ENSG00000000003	TSPAN6	basal ganglia	6.8	10.2	7.6
ENSG00000000003	TSPAN6	cerebellum	6.5	9.2	7.2
ENSG00000000003	TSPAN6	cerebral cortex	4.4	6.7	5.6
ENSG00000000003	TSPAN6	choroid plexus	26.8	34.9	48.2
ENSG00000000003	TSPAN6	hippocampal formation	6.0	8.7	7.4
ENSG00000000003	TSPAN6	hypothalamus	12.2	18.1	12.0
ENSG00000000003	TSPAN6	medulla oblongata	8.2	11.8	10.4
ENSG00000000003	TSPAN6	midbrain	9.8	14.2	11.8
ENSG00000000003	TSPAN6	pons	5.7	8.7	6.8
ENSG00000000003	TSPAN6	spinal cord	9.1	13.2	10.7
ENSG00000000003	TSPAN6	thalamus	6.7	9.3	7.3
ENSG00000000003	TSPAN6	white matter	14.6	23.9	16.3
ENSG00000000005	TNMD	amygdala	0.3	0.4	0.5
ENSG00000000005	TNMD	basal ganglia	0.4	0.6	0.3
ENSG00000000005	TNMD	cerebellum	0.2	0.3	0.2
ENSG00000000005	TNMD	cerebral cortex	0.3	0.4	0.4
ENSG00000000005	TNMD	choroid plexus	1.3	1.8	2.3
ENSG00000000005	TNMD	hippocampal formation	0.4	0.6	0.5
ENSG00000000005	TNMD	hypothalamus	1.0	1.5	1.2
ENSG00000000005	TNMD	medulla oblongata	1.1	1.7	1.2
ENSG00000000005	TNMD	midbrain	0.9	1.2	1.3
ENSG00000000005	TNMD	pons	0.6	0.8	0.6
ENSG00000000005	TNMD	spinal cord	0.3	0.4	0.4
ENSG00000000005	TNMD	thalamus	0.5	0.7	0.7
ENSG00000000005	TNMD	white matter	0.3	0.5	0.3
ENSG00000000419	DPM1	amygdala	6.6	9.1	10.2
ENSG00000000419	DPM1	basal ganglia	11.6	17.2	11.7
ENSG00000000419	DPM1	cerebellum	10.9	15.4	12.4
ENSG00000000419	DPM1	cerebral cortex	13.9	20.8	15.8
ENSG00000000419	DPM1	choroid plexus	6.8	8.8	14.7
ENSG00000000419	DPM1	hippocampal formation	10.6	15.7	11.8
ENSG00000000419	DPM1	hypothalamus	15.5	22.9	13.8
ENSG00000000419	DPM1	medulla oblongata	11.2	16.9	12.2
ENSG00000000419	DPM1	midbrain	13.4	19.4	10.1
ENSG00000000419	DPM1	pons	12.9	18.7	11.2
ENSG00000000419	DPM1	spinal cord	7.8	11.3	12.8
ENSG00000000419	DPM1	thalamus	11.2	16.4	11.3
ENSG00000000419	DPM1	white matter	13.9	22.9	16.4
