Gene symbol,Feature ID,Chromosome,Start,End
ABCC9,ABCC9_E1,chr12,22016580,22018724
ABCC9,ABCC9_E2,chr12,22029787,22031195
ABCC9,ABCC9_E3,chr12,22034190,22035921
ABCC9,ABCC9_E4,chr12,22035962,22036703
ABCC9,ABCC9_E5,chr12,22043449,22046767
ABCC9,ABCC9_E6,chr12,22047828,22048472
ABCC9,ABCC9_E7,chr12,22061115,22061219
ABCC9,ABCC9_E8,chr12,22063618,22064536
ABCC9,ABCC9_E9,chr12,22067740,22079160
ABCC9,ABCC9_E10,chr12,22086544,22088108
ABCC9,ABCC9_P1,chr12,22088358,22091108
ABCC9,ABCC9_E11,chr12,22091128,22092667
ABCC9,ABCC9_P2,chr12,22092566,22095486
ABCC9,ABCC9_E12,chr12,22093885,22094035
ABCC9,ABCC9_E13,chr12,22124099,22128473
ABCC9,ABCC9_E14,chr12,22131651,22133046
ABCC9,ABCC9_E15,chr12,22140703,22144403
ACTC1,ACTC1_E1,chr15,35081183,35083552
ACTC1,ACTC1_P1,chr15,35083552,35091979
ACTC1,ACTC1_E2,chr15,35089840,35095019
ACTC1,ACTC1_E3,chr15,35096813,35098727
ACTC1,ACTC1_E4,chr15,35101876,35104775
ACTC1,ACTC1_E5,chr15,35110524,35111877
ACTC1,ACTC1_E6,chr15,35131804,35134153
ACTC1,ACTC1_E7,chr15,35144294,35148661
ACTN2,ACTN2_E1,chr1,236819642,236833629
ACTN2,ACTN2_E2,chr1,236835735,236838058
ACTN2,ACTN2_E3,chr1,236844506,236844765
ACTN2,ACTN2_P1,chr1,236848281,236851326
ACTN2,ACTN2_E4,chr1,236851326,236858737
ACTN2,ACTN2_E5,chr1,236858897,236861545
ACTN2,ACTN2_E6,chr1,236861765,236883947
ACTN2,ACTN2_E7,chr1,236888958,236893049
ACTN2,ACTN2_E8,chr1,236896049,236906870
ALPK3,ALPK3_E1,chr15,85327384,85330062
ALPK3,ALPK3_P1,chr15,85358410,85363555
ALPK3,ALPK3_E2,chr15,85361410,85373280
ALPK3,ALPK3_E3,chr15,85373336,85387255
ALPK3,ALPK3_E4,chr15,85387953,85389226
ANKRD1,ANKRD1_E1,chr10,92666630,92673861
ANKRD1,ANKRD1_E2,chr10,92674568,92679150
ANKRD1,ANKRD1_P1,chr10,92679006,92684092
ANKRD1,ANKRD1_E3,chr10,92680060,92680210
ANKRD1,ANKRD1_E4,chr10,92681320,92681470
ANKRD1,ANKRD1_E5,chr10,92684147,92685391
ANKRD1,ANKRD1_E6,chr10,92686212,92698206
BAG3,BAG3_E1,chr10,121402550,121404146
BAG3,BAG3_P1,chr10,121407607,121412377
BAG3,BAG3_E2,chr10,121411065,121411215
BAG3,BAG3_E3,chr10,121411260,121411410
BAG3,BAG3_E4,chr10,121412381,121437099
BAG3,BAG3_P2,chr10,121415100,121415250
BAG3,BAG3_P3,chr10,121415380,121415530
BAG3,BAG3_E5,chr10,121437250,121442428
BAG3,BAG3_E6,chr10,121442868,121443747
BAG3,BAG3_E7,chr10,121445191,121447517
BRAF,BRAF_E1,chr7,140570460,140570610
BRAF,BRAF_E2,chr7,140598720,140598870
BRAF,BRAF_E3,chr7,140599760,140599910
BRAF,BRAF_E4,chr7,140602531,140602782
